open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1782928800000,60166.50,60278.90,59992.70,60141.50,4929.144,1782932399999,296427279.69170,127873,2622.292,157726548.87050,0
1782932400000,60141.50,60332.80,59952.30,60000.00,5201.063,1782935999999,312753825.73730,123830,2401.837,144454669.76000,0
1782936000000,60000.00,60170.30,59844.50,60100.30,4206.586,1782939599999,252272420.34250,98990,2171.894,130257560.46680,0
1782939600000,60100.30,60827.80,60092.70,60799.90,16099.760,1782943199999,975263958.65680,207973,10388.332,629267865.38070,0
1782943200000,60799.90,61322.00,60319.30,60446.30,23792.275,1782946799999,1447868343.00560,305049,12880.811,783911836.84550,0
1782946800000,60446.30,60446.30,59949.20,59999.60,8275.076,1782950399999,497749852.26030,167059,3972.394,238936239.44870,0
1782950400000,59999.60,60005.70,59555.00,59719.70,11009.328,1782953999999,658001064.37290,198236,5543.616,331349719.67030,0
1782954000000,59719.70,60298.00,59688.90,60150.00,8878.647,1782957599999,532737185.80720,185981,4873.400,292354510.06070,0
1782957600000,60150.00,60467.20,59978.30,60392.50,5419.480,1782961199999,326567136.26800,141744,2690.732,162150522.32050,0
1782961200000,60392.40,61102.50,60259.10,61032.90,12526.353,1782964799999,760511414.98210,232061,7121.360,432458798.79200,0
1782964800000,61032.90,61033.00,60703.10,60757.70,7263.034,1782968399999,441819390.02210,138824,2791.261,169813845.83830,0
1782968400000,60757.70,60852.90,60450.00,60479.90,9042.359,1782971999999,548290467.78680,163105,3846.067,233231150.95650,0
1782972000000,60480.00,60623.50,60232.60,60247.60,8467.548,1782975599999,511606790.36790,144166,3651.611,220670118.83330,0
1782975600000,60247.60,60288.00,60080.90,60125.80,9344.837,1782979199999,562182911.38000,140649,4321.920,260007110.69590,0
1782979200000,60125.80,60542.20,60113.50,60486.80,6198.207,1782982799999,374069600.14970,134288,3666.823,221304025.86780,0
1782982800000,60486.70,61447.00,60342.50,61159.60,25607.036,1782986399999,1562063828.79620,412522,14587.916,889951627.12330,0
1782986400000,61159.60,61330.00,61019.80,61238.50,9252.747,1782989999999,566150277.90300,228665,4019.327,245885287.73540,0
1782990000000,61238.40,61367.30,61100.00,61329.10,12681.094,1782993599999,776849330.28850,222937,5781.462,354157883.43270,0
1782993600000,61329.10,61591.10,61109.90,61507.40,18071.778,1782997199999,1108969610.04960,354504,9126.245,560176762.46870,0
1782997200000,61507.30,62077.30,61472.00,61913.50,25674.180,1783000799999,1586755234.28020,463512,13870.115,857326971.72620,0
1783000800000,61913.60,62180.00,61368.80,61669.80,18344.228,1783004399999,1132654907.88980,458562,9049.473,558899149.89700,0
1783004400000,61669.70,61844.40,61400.00,61584.00,7696.828,1783007999999,474289330.55200,249568,3775.389,232662149.98270,0
1783008000000,61584.00,61754.90,61113.80,61646.80,13879.115,1783011599999,852140451.70160,259302,6435.153,395265123.48710,0
1783011600000,61646.80,61900.00,61592.80,61643.00,6139.152,1783015199999,379117330.80300,157383,3472.865,214506014.41220,0
1783015200000,61643.00,61847.20,61633.70,61733.50,3075.802,1783018799999,189968975.63930,100170,1579.753,97571761.13040,0
1783018800000,61733.50,61739.70,61388.10,61452.50,5108.610,1783022399999,314387104.81890,128260,2249.807,138476096.85720,0
1783022400000,61452.40,61576.80,61308.30,61555.40,4121.371,1783025999999,253116105.64260,91643,2214.592,136040567.00740,0
1783026000000,61555.30,61634.30,61500.00,61570.60,1957.081,1783029599999,120424802.04240,43088,917.164,56437612.67530,0
1783029600000,61570.50,61570.60,61388.00,61445.00,3574.010,1783033199999,219797847.16170,45314,931.132,57264242.93840,0
1783033200000,61444.90,61588.20,61333.00,61540.60,2617.247,1783036799999,160853077.79910,71439,1463.332,89954789.97560,0
1783036800000,61540.50,61558.80,61229.00,61283.90,3597.556,1783040399999,220727922.58240,114901,1773.623,108833335.96250,0
1783040400000,61283.90,61727.20,61261.00,61566.50,4451.238,1783043999999,274064180.79670,155945,2358.112,145185491.81600,0
1783044000000,61566.60,61647.00,61271.00,61411.80,3999.381,1783047599999,245706947.58350,110627,2075.143,127487127.41730,0
1783047600000,61411.90,61558.00,61300.00,61407.60,3005.736,1783051199999,184602791.13750,80913,1583.192,97226131.23290,0
1783051200000,61407.50,61504.60,61300.40,61420.50,2696.433,1783054799999,165581031.30950,71031,1469.233,90225625.13260,0
1783054800000,61420.50,61788.00,61403.10,61674.80,4765.665,1783058399999,293700503.94760,111589,2474.722,152524928.47990,0
1783058400000,61674.70,61825.10,61584.00,61680.50,3450.463,1783061999999,212944668.90000,84400,1732.935,106966754.76180,0
1783062000000,61680.60,61849.70,61634.10,61733.60,3348.266,1783065599999,206759579.92970,75979,1532.016,94605247.18590,0
1783065600000,61733.70,61875.30,61525.90,61553.50,4222.917,1783069199999,260601375.61860,105208,1968.610,121518794.85490,0
1783069200000,61553.60,61760.70,61480.70,61686.80,3311.924,1783072799999,204095123.85010,95641,1770.734,109128354.74320,0
1783072800000,61686.90,62017.70,61640.20,61886.60,5642.212,1783076399999,349050556.77630,121306,3264.838,201996989.61250,0
1783076400000,61886.50,62078.60,61808.10,61992.80,5889.006,1783079999999,364869322.58520,124920,3101.796,192185865.33590,0
1783080000000,61992.80,62149.30,61841.00,61952.50,8242.179,1783083599999,511313621.85200,147376,4628.977,287198820.37950,0
1783083600000,61952.60,62271.90,61910.50,62083.80,5936.240,1783087199999,368500717.37160,140188,3053.051,189577720.84830,0
1783087200000,62083.90,62257.00,61653.00,62142.90,8788.007,1783090799999,544277616.08630,203558,4262.362,264042353.19600,0
1783090800000,62142.90,62386.70,61778.10,61895.20,13581.616,1783094399999,843009662.23760,223112,6667.154,413973456.86270,0
1783094400000,61895.20,62103.50,61877.60,62081.90,4059.255,1783097999999,251692659.83220,93398,2417.710,149929889.24120,0
1783098000000,62081.90,62266.80,62036.00,62171.50,4094.585,1783101599999,254612278.88790,90069,2023.744,125842515.89120,0
1783101600000,62171.50,62223.70,62087.40,62180.20,2583.154,1783105199999,160562887.31940,65054,1267.192,78764677.72160,0
1783105200000,62180.30,62292.40,62120.10,62178.40,3755.875,1783108799999,233603970.33690,83533,1894.723,117846632.04660,0
1783108800000,62178.40,62898.00,62151.20,62759.30,21132.140,1783112399999,1322688357.81730,265270,12218.122,764792956.13150,0
1783112400000,62759.30,62957.20,62488.80,62706.80,7035.750,1783115999999,441158315.66520,139027,3605.397,226083010.67140,0
1783116000000,62706.90,62726.00,62513.00,62549.30,2682.334,1783119599999,167924101.39080,71080,1181.594,73968485.76800,0
1783119600000,62549.30,62688.00,62507.10,62565.50,2226.562,1783123199999,139377148.78120,60226,1212.370,75893067.93890,0
1783123200000,62565.50,62925.70,62560.50,62735.10,5338.885,1783126799999,335145679.67410,115369,3110.380,195238528.59650,0
1783126800000,62735.00,62735.10,62381.60,62450.00,5177.732,1783130399999,323590819.98360,122303,2165.762,135347394.07550,0
1783130400000,62450.00,62556.50,62404.00,62514.00,1900.751,1783133999999,118765547.77030,57113,980.494,61271247.04710,0
1783134000000,62514.10,62734.70,62460.00,62609.60,2757.480,1783137599999,172644328.72540,71420,1518.467,95070433.45640,0
1783137600000,62609.60,62735.20,62568.80,62661.50,1944.821,1783141199999,121833329.39750,58393,1029.315,64487568.91660,0
1783141200000,62661.60,62661.60,62395.70,62445.60,2620.858,1783144799999,163788811.73390,61424,865.127,54072545.94430,0
1783144800000,62445.70,62538.60,62302.60,62473.20,2993.905,1783148399999,186875966.48960,68203,1400.737,87440251.15300,0
1783148400000,62473.10,62612.60,62441.80,62549.00,2131.436,1783151999999,133254817.19720,54945,1233.890,77141633.19470,0
1783152000000,62549.10,62654.10,62485.10,62528.00,2712.962,1783155599999,169741008.58780,57937,1367.097,85548958.89140,0
1783155600000,62527.90,62559.30,62386.10,62466.00,1929.560,1783159199999,120519504.66080,53756,904.154,56473879.31090,0
1783159200000,62466.00,62518.80,62418.30,62483.90,1203.457,1783162799999,75170934.79490,36031,520.332,32502400.76800,0
1783162800000,62483.80,62545.40,62430.10,62458.70,1559.204,1783166399999,97416289.01530,40909,823.494,51455811.08540,0
1783166400000,62458.60,62671.50,62458.60,62634.10,1790.061,1783169999999,112015259.65030,49349,1077.268,67416511.31130,0
1783170000000,62634.00,62755.50,62509.40,62563.00,2399.918,1783173599999,150265410.25060,63642,1187.166,74351132.33230,0
1783173600000,62562.90,62719.30,62562.40,62671.90,1875.000,1783177199999,117453868.80700,59254,1045.462,65489723.01230,0
1783177200000,62671.80,63069.60,62666.70,62908.80,9460.185,1783180799999,594917648.72130,199887,5827.528,366533867.81670,0
1783180800000,62908.70,62943.00,62752.90,62895.20,2956.899,1783184399999,185852974.34770,86981,1481.369,93112197.50180,0
1783184400000,62895.20,63420.00,62769.80,63245.60,10022.122,1783187999999,633071910.93520,182615,5913.221,373581038.29130,0
1783188000000,63245.50,63324.80,63070.00,63137.50,3957.615,1783191599999,250040159.11820,94640,1761.413,111281208.55850,0
1783191600000,63137.50,63450.00,63090.00,63268.10,4202.383,1783195199999,265980535.60640,84022,2196.874,139042479.09870,0
1783195200000,63268.00,63367.00,63128.40,63208.90,2485.990,1783198799999,157195895.30030,69442,1173.956,74231907.78180,0
1783198800000,63208.80,63430.00,63172.80,63274.70,2460.986,1783202399999,155850929.26260,54897,1268.731,80340075.19670,0
1783202400000,63274.60,63286.40,63129.40,63167.70,1955.701,1783205999999,123590428.39520,50208,1007.683,63683576.16540,0
1783206000000,63167.70,63215.80,62902.70,63114.80,3811.613,1783209599999,240381259.47850,92370,1690.687,106632241.79080,0
1783209600000,63114.90,63114.90,62824.40,62962.50,3551.601,1783213199999,223703701.19340,86000,1358.617,85591610.08010,0
1783213200000,62962.60,63022.60,62762.30,62859.80,4010.604,1783216799999,252127298.55750,91351,1789.251,112500675.54600,0
1783216800000,62859.80,62902.60,62549.60,62673.80,4562.372,1783220399999,285997874.68080,106284,1974.856,123807237.28930,0
1783220400000,62673.70,62766.00,62626.50,62739.10,2361.782,1783223999999,148107735.36850,61232,1200.339,75274875.80650,0
1783224000000,62739.10,62928.00,62680.00,62787.30,2921.002,1783227599999,183518861.49290,68468,1708.176,107321999.69370,0
