time,open,high,low,close
2025-12-11 08:00:00+00:00,4217.0,4300.0,4100.0,4226.84
2025-12-11 09:00:00+00:00,4226.5,4241.0,4219.5,4236.0
2025-12-11 10:00:00+00:00,4234.8,4239.5,4226.2,4232.0
2025-12-11 11:00:00+00:00,4231.98,4235.0,4216.0,4224.0
2025-12-11 12:00:00+00:00,4224.0,4227.2,4218.0,4224.8
2025-12-11 13:00:00+00:00,4224.8,4228.0,4219.8,4223.9
2025-12-11 14:00:00+00:00,4225.89,4236.0,4221.16,4226.2
2025-12-11 15:00:00+00:00,4231.19,4239.0,4226.56,4238.47
2025-12-11 16:00:00+00:00,4238.47,4249.99,4228.97,4248.07
2025-12-11 17:00:00+00:00,4249.99,4285.11,4235.0,4267.6
2025-12-11 18:00:00+00:00,4267.6,4410.0,4100.0,4290.0
2025-12-11 19:00:00+00:00,4281.0,4349.99,4254.89,4280.0
2025-12-11 20:00:00+00:00,4276.0,4287.81,4252.0,4282.0
2025-12-11 21:00:00+00:00,4282.0,4290.22,4252.0,4273.02
2025-12-11 22:00:00+00:00,4273.29,4290.22,4260.0,4283.0
2025-12-11 23:00:00+00:00,4283.0,4288.98,4260.0,4271.2
2025-12-12 00:00:00+00:00,4262.55,4284.08,4250.0,4261.3
2025-12-12 01:00:00+00:00,4261.3,4275.0,4256.0,4263.99
2025-12-12 02:00:00+00:00,4263.98,4275.19,4256.7,4268.0
2025-12-12 03:00:00+00:00,4268.0,4273.51,4262.0,4273.5
2025-12-12 04:00:00+00:00,4270.5,4273.5,4266.0,4267.18
2025-12-12 05:00:00+00:00,4267.18,4271.05,4267.18,4267.83
2025-12-12 06:00:00+00:00,4267.18,4275.0,4264.53,4275.0
2025-12-12 07:00:00+00:00,4272.0,4287.0,4270.47,4284.0
2025-12-12 08:00:00+00:00,4284.4,4388.0,4235.0,4309.66
2025-12-12 09:00:00+00:00,4308.22,4328.88,4302.59,4317.21
2025-12-12 10:00:00+00:00,4317.28,4328.0,4300.0,4323.76
2025-12-12 11:00:00+00:00,4323.95,4354.6,4314.19,4340.0
2025-12-12 12:00:00+00:00,4340.0,4345.0,4322.22,4322.92
2025-12-12 13:00:00+00:00,4322.92,4339.88,4322.41,4335.08
2025-12-12 14:00:00+00:00,4337.01,4340.0,4312.0,4332.84
2025-12-12 15:00:00+00:00,4333.37,4335.56,4266.0,4291.61
2025-12-12 16:00:00+00:00,4291.18,4295.99,4274.01,4281.21
2025-12-12 17:00:00+00:00,4283.66,4300.0,4276.0,4295.55
2025-12-12 18:00:00+00:00,4295.27,4312.0,4280.0,4300.82
2025-12-12 19:00:00+00:00,4303.83,4329.0,4281.2,4302.0
2025-12-12 20:00:00+00:00,4301.25,4338.0,4300.23,4310.0
2025-12-12 21:00:00+00:00,4310.0,4339.98,4280.0,4302.7
2025-12-12 22:00:00+00:00,4302.8,4340.0,4300.0,4307.6
