time,open,high,low,close
2026-03-26 14:00:00+00:00,4415.0,4500.0,4410.0,4466.26
2026-03-26 15:00:00+00:00,4465.98,4469.74,4435.57,4437.59
2026-03-26 16:00:00+00:00,4437.6,4441.45,4370.18,4392.43
2026-03-26 17:00:00+00:00,4392.02,4403.2,4382.4,4384.6
2026-03-26 18:00:00+00:00,4385.0,4399.39,4373.17,4397.21
2026-03-26 19:00:00+00:00,4397.8,4401.89,4364.82,4368.4
2026-03-26 20:00:00+00:00,4368.59,4421.39,4357.7,4382.94
2026-03-26 21:00:00+00:00,4383.62,4395.87,4383.62,4394.23
2026-03-26 22:00:00+00:00,4394.36,4413.14,4384.8,4413.14
2026-03-26 23:00:00+00:00,4412.2,4412.64,4390.01,4406.39
2026-03-27 00:00:00+00:00,4406.4,4410.8,4377.8,4380.4
2026-03-27 01:00:00+00:00,4380.2,4419.19,4378.67,4416.8
2026-03-27 02:00:00+00:00,4417.2,4438.39,4417.14,4431.2
2026-03-27 03:00:00+00:00,4431.4,4444.59,4421.9,4436.82
2026-03-27 04:00:00+00:00,4437.4,4447.8,4430.8,4446.0
2026-03-27 05:00:00+00:00,4445.8,4471.06,4440.27,4452.19
2026-03-27 06:00:00+00:00,4452.14,4467.99,4450.21,4456.36
2026-03-27 07:00:00+00:00,4455.86,4458.03,4442.39,4444.0
2026-03-27 08:00:00+00:00,4444.2,4447.79,4422.32,4422.79
2026-03-27 09:00:00+00:00,4422.92,4436.46,4417.43,4425.99
2026-03-27 10:00:00+00:00,4426.0,4430.0,4406.84,4410.81
2026-03-27 11:00:00+00:00,4410.82,4421.24,4401.65,4415.41
2026-03-27 12:00:00+00:00,4415.44,4440.81,4408.95,4433.3
2026-03-27 13:00:00+00:00,4433.3,4438.29,4410.48,4428.24
2026-03-27 14:00:00+00:00,4427.99,4505.68,4427.49,4500.92
2026-03-27 15:00:00+00:00,4500.93,4545.69,4494.16,4513.72
2026-03-27 16:00:00+00:00,4513.78,4522.61,4497.83,4509.21
2026-03-27 17:00:00+00:00,4509.08,4514.0,4478.83,4479.0
2026-03-27 18:00:00+00:00,4479.0,4524.4,4478.99,4515.84
2026-03-27 19:00:00+00:00,4515.84,4527.95,4505.17,4518.23
2026-03-27 20:00:00+00:00,4518.31,4523.69,4488.06,4489.44
2026-03-27 21:00:00+00:00,4489.43,4496.88,4483.0,4494.31
2026-03-27 22:00:00+00:00,4494.3,4495.53,4493.25,4494.17
2026-03-27 23:00:00+00:00,4494.16,4495.59,4492.68,4494.53
2026-03-28 00:00:00+00:00,4494.53,4497.26,4494.48,4495.01
2026-03-28 01:00:00+00:00,4495.02,4495.33,4484.8,4487.26
2026-03-28 02:00:00+00:00,4487.26,4487.37,4485.6,4486.99
2026-03-28 03:00:00+00:00,4487.0,4490.79,4486.99,4489.6
2026-03-28 04:00:00+00:00,4489.61,4489.91,4484.57,4487.38
2026-03-28 05:00:00+00:00,4487.39,4498.54,4487.38,4497.68
2026-03-28 06:00:00+00:00,4497.68,4499.3,4496.72,4497.46
2026-03-28 07:00:00+00:00,4497.47,4497.57,4495.12,4496.59
2026-03-28 08:00:00+00:00,4496.58,4496.58,4493.44,4494.99
2026-03-28 09:00:00+00:00,4494.99,4495.55,4494.41,4494.61
2026-03-28 10:00:00+00:00,4494.61,4494.62,4491.8,4492.37
2026-03-28 11:00:00+00:00,4492.38,4494.35,4492.37,4494.35
2026-03-28 12:00:00+00:00,4494.35,4496.63,4494.32,4496.06
2026-03-28 13:00:00+00:00,4496.07,4499.0,4494.99,4495.81
2026-03-28 14:00:00+00:00,4495.81,4497.1,4495.41,4495.94
2026-03-28 15:00:00+00:00,4495.93,4495.94,4485.0,4492.65
